time_start,time_end,model,launch_place,target,carrier,launched,destroyed,not_reach_goal
10/11/2024,10/11/2024 8:00,Cruise Missiles,Crimea,south,Unknown,1,0,
10/11/2024,10/11/2024 8:00,Ballistic Missiles,Crimea,south,Unknown,1,0,
10/9/2024 19:00,10/10/2024 10:10,Cruise Missiles,Crimea,Mykolaiv oblast,Unknown,2,0,
10/9/2024 19:00,10/10/2024 10:10,Cruise Missiles,Crimea,Odesa oblast,Unknown,1,0,
10/9/2024 19:00,10/10/2024 10:10,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
10/9/2024 19:00,10/10/2024 10:10,Surface-to-Air Missiles (SAM),Donetsk oblast,east,Unknown,3,0,
10/10/2024,10/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
10/10/2024,10/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/10/2024,10/10/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,3,3,
10/9/2024,10/9/2024 8:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,,22,21,
10/9/2024,10/9/2024 8:00,Ballistic Missiles,Kursk oblast,Poltava oblast,Unknown,3,0,
10/9/2024,10/9/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
10/9/2024,10/9/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/7/2024 19:00,10/8/2024 8:30,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Ukraine,Unknown,19,18,
10/7/2024 19:00,10/8/2024 8:30,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/7/2024 19:00,10/8/2024 8:30,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
10/8/2024,10/8/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/8/2024,10/8/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,3,3,
10/7/2024 8:20,10/7/2024 8:30,Hypersonic Missiles,Tambov oblast,Kyiv oblast and Starokostiantyniv,3 x MiG-31K,3,2,
10/6/2024 20:00,10/7/2024 8:30,Cruise Missiles,Unknown,Ukraine,Unknown,1,0,
10/6/2024 20:00,10/7/2024 8:30,Unknown Missile,Unknown,Ukraine,Unknown,1,0,
10/6/2024 20:00,10/7/2024 8:30,Ballistic Missiles,Unknown,Ukraine,Unknown,1,0,
10/5/2024 19:00,10/6/2024 7:00,Cruise Missiles,Unknown,Ukraine,Unknown,1,1,
10/5/2024 19:00,10/6/2024 7:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
10/5/2024 19:00,10/6/2024 7:00,Cruise Missiles,Unknown,Ukraine,Unknown,1,1,
10/5/2024,10/5/2024 8:00,Cruise Missiles,Crimea and Kursk oblast,Ukraine,Unknown,3,0,3
10/5/2024,10/5/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
10/3/2024,10/3/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/3/2024,10/3/2024,Cruise Missiles,Crimea,Odesa oblast,Unknown,1,0,
10/3/2024,10/3/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/3/2024,10/3/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/1/2024 12:00,10/1/2024 12:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
10/1/2024,10/1/2024 8:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast",Ukraine,,32,29,3
